epoch,mAP_50:95,AP_50,AP_75,train_loss,val_loss,train_loss_box_reg,val_loss_box_reg,lr,duration_s
1,0.0132,0.0768,0.0012,1.5408,1.6688,0.3041,0.4103,0.000010,69.31
2,0.1063,0.2972,0.0130,1.6881,1.5918,0.6650,0.7999,0.000208,68.52
3,0.1347,0.4204,0.0116,1.4110,1.5103,0.7556,0.7807,0.000406,67.39
4,0.3213,0.7605,0.2583,1.1579,1.1523,0.6287,0.5966,0.000604,67.81
5,0.2803,0.8424,0.0991,1.0121,1.1706,0.5547,0.6391,0.000802,66.72
6,0.3221,0.8171,0.2164,0.9233,1.0961,0.5155,0.6017,0.001000,66.69
7,0.4304,0.9405,0.3037,0.8886,0.9572,0.4981,0.5197,0.001000,66.31
8,0.4351,0.8893,0.2825,0.8190,0.9719,0.4629,0.5191,0.000999,66.19
9,0.4968,0.9503,0.3928,0.7873,0.8971,0.4459,0.5002,0.000998,66.33
10,0.4137,0.9468,0.2689,0.7534,0.9199,0.4285,0.5052,0.000996,65.99
11,0.5537,0.9494,0.5824,0.7874,0.7831,0.4457,0.4426,0.000993,66.40
12,0.5115,0.9542,0.4138,0.7194,0.7959,0.4081,0.4376,0.000990,66.61
13,0.5361,0.9978,0.5060,0.6964,0.8490,0.3967,0.4460,0.000987,66.49
14,0.4515,0.9740,0.2676,0.6993,1.0498,0.3987,0.5525,0.000983,66.18
15,0.4528,0.9589,0.2295,0.6907,0.9433,0.3915,0.4993,0.000978,65.87
16,0.6302,0.9954,0.7295,0.6554,0.7416,0.3731,0.3993,0.000973,66.08
17,0.5011,0.9388,0.4888,0.6664,0.9304,0.3823,0.5330,0.000967,65.97
18,0.5802,0.9993,0.6036,0.6581,0.7916,0.3761,0.4276,0.000961,66.08
19,0.4547,1.0000,0.3224,0.6318,0.8798,0.3600,0.4719,0.000955,66.28
20,0.5967,0.9802,0.7181,0.6417,0.6696,0.3639,0.3678,0.000947,66.01
21,0.5400,1.0000,0.5601,0.6444,0.8052,0.3672,0.4597,0.000940,66.00
22,0.5387,0.9792,0.5428,0.6183,0.6635,0.3493,0.3785,0.000932,66.11
23,0.5602,1.0000,0.5831,0.6091,0.6942,0.3478,0.3897,0.000923,66.16
24,0.5980,0.9990,0.7419,0.6110,0.8256,0.3473,0.4596,0.000914,65.94
25,0.5484,1.0000,0.5002,0.5809,0.7415,0.3306,0.4217,0.000905,65.89
26,0.4775,1.0000,0.4768,0.6078,0.8090,0.3438,0.4625,0.000895,65.87
27,0.6036,1.0000,0.6239,0.5762,0.6348,0.3288,0.3578,0.000884,66.04
28,0.6810,1.0000,0.8857,0.5927,0.6085,0.3341,0.3520,0.000873,66.48
29,0.7040,1.0000,0.9042,0.5715,0.5571,0.3266,0.3100,0.000862,65.76
30,0.7160,1.0000,0.9406,0.5604,0.5900,0.3190,0.3261,0.000851,65.89
31,0.6098,1.0000,0.6810,0.5652,0.8054,0.3224,0.4306,0.000839,65.86
32,0.5223,1.0000,0.3894,0.5761,0.8073,0.3278,0.4583,0.000826,66.09
33,0.6890,1.0000,0.9270,0.5483,0.5734,0.3144,0.3196,0.000814,65.81
34,0.7534,1.0000,0.9604,0.5579,0.5243,0.3181,0.2954,0.000801,66.03
35,0.5221,1.0000,0.3828,0.5596,0.7840,0.3187,0.4192,0.000787,66.10
36,0.7032,1.0000,0.9304,0.5591,0.5706,0.3181,0.3240,0.000773,65.75
37,0.6931,1.0000,0.9266,0.5465,0.5295,0.3161,0.2961,0.000759,66.26
38,0.6791,1.0000,0.8098,0.5372,0.6074,0.3054,0.3333,0.000745,66.04
39,0.6571,1.0000,0.7898,0.5115,0.5974,0.2903,0.3508,0.000731,66.32
40,0.6353,1.0000,0.8532,0.5034,0.6286,0.2868,0.3515,0.000716,66.00
41,0.7347,1.0000,0.9406,0.4942,0.5542,0.2804,0.3193,0.000701,66.21
42,0.6207,1.0000,0.8276,0.5264,0.6109,0.2993,0.3531,0.000686,65.76
43,0.6950,1.0000,0.9488,0.5070,0.6120,0.2900,0.3445,0.000670,66.20
44,0.6630,1.0000,0.9429,0.5087,0.5961,0.2887,0.3514,0.000655,65.96
45,0.6874,1.0000,0.8594,0.5203,0.6127,0.2943,0.3471,0.000639,65.90
46,0.7101,1.0000,0.9640,0.5097,0.5655,0.2906,0.3195,0.000623,66.20
47,0.6445,1.0000,0.8198,0.5052,0.5747,0.2899,0.3359,0.000607,65.89
48,0.6803,1.0000,0.8452,0.4899,0.5702,0.2799,0.3200,0.000590,65.71
49,0.6906,1.0000,0.9123,0.4909,0.5737,0.2785,0.3361,0.000574,65.89
50,0.6862,1.0000,0.8756,0.4949,0.5684,0.2811,0.3246,0.000558,65.98
51,0.6726,1.0000,0.8008,0.4764,0.5339,0.2711,0.3053,0.000541,66.17
52,0.6910,1.0000,0.9416,0.4706,0.6081,0.2650,0.3501,0.000525,66.00
53,0.6555,1.0000,0.7953,0.4773,0.7218,0.2731,0.3856,0.000508,65.99
54,0.6918,1.0000,0.8980,0.4780,0.5568,0.2700,0.3125,0.000492,65.82
55,0.6807,1.0000,0.8993,0.4726,0.5922,0.2714,0.3236,0.000475,65.82
56,0.7100,1.0000,0.9440,0.4855,0.5622,0.2746,0.3089,0.000459,66.23
57,0.7666,1.0000,1.0000,0.4887,0.5099,0.2783,0.2840,0.000442,65.88
58,0.6020,1.0000,0.7714,0.4908,0.7416,0.2818,0.4293,0.000426,65.93
59,0.5932,1.0000,0.6640,0.4620,0.5881,0.2630,0.3412,0.000410,65.75
60,0.7133,1.0000,0.9676,0.4570,0.5181,0.2606,0.2876,0.000393,66.17
61,0.6386,1.0000,0.8051,0.4556,0.6303,0.2581,0.3508,0.000377,66.18
62,0.6902,1.0000,0.9119,0.4398,0.5410,0.2486,0.3045,0.000361,65.94
63,0.6840,1.0000,0.9297,0.4706,0.5992,0.2670,0.3297,0.000345,66.18
64,0.7124,1.0000,0.9272,0.4554,0.5266,0.2570,0.2944,0.000330,66.23
65,0.7175,1.0000,0.9233,0.4599,0.5380,0.2600,0.3017,0.000314,65.94
66,0.5323,1.0000,0.5423,0.4782,0.8322,0.2707,0.4449,0.000299,66.37
67,0.7383,1.0000,0.9457,0.4253,0.5449,0.2402,0.3021,0.000284,65.72
68,0.5915,1.0000,0.6385,0.4569,0.6508,0.2601,0.3607,0.000269,65.97
69,0.5753,1.0000,0.6358,0.4480,0.7287,0.2544,0.3927,0.000255,65.81
70,0.6559,1.0000,0.9012,0.4312,0.5894,0.2443,0.3286,0.000241,65.79
71,0.6879,1.0000,0.9279,0.4429,0.5385,0.2502,0.2982,0.000227,65.94
72,0.6882,1.0000,0.9027,0.4582,0.5428,0.2618,0.3021,0.000213,66.01
73,0.7123,1.0000,0.9645,0.4338,0.5148,0.2470,0.2810,0.000199,65.85
74,0.6295,1.0000,0.8106,0.4344,0.5941,0.2459,0.3242,0.000186,65.91
75,0.7630,1.0000,0.9436,0.4486,0.4386,0.2560,0.2436,0.000174,66.10
76,0.7836,1.0000,0.9802,0.4270,0.4146,0.2424,0.2321,0.000161,66.20
77,0.7649,1.0000,0.9684,0.4331,0.4780,0.2470,0.2614,0.000149,65.94
78,0.7856,1.0000,0.9652,0.4230,0.4244,0.2398,0.2393,0.000138,65.88
79,0.7618,1.0000,0.9451,0.4329,0.4455,0.2467,0.2530,0.000127,65.96
80,0.7633,1.0000,1.0000,0.4356,0.4162,0.2490,0.2324,0.000116,66.06
81,0.7728,1.0000,0.9802,0.4237,0.4923,0.2444,0.2765,0.000105,65.81
82,0.6440,1.0000,0.8600,0.4261,0.6553,0.2448,0.3656,0.000095,65.88
83,0.7213,1.0000,0.9292,0.4387,0.5188,0.2515,0.2918,0.000086,66.03
84,0.5664,1.0000,0.5410,0.4243,0.7555,0.2438,0.4250,0.000077,65.67
85,0.7745,1.0000,0.9802,0.4239,0.4527,0.2404,0.2503,0.000068,66.03
86,0.7949,1.0000,0.9799,0.4082,0.4215,0.2328,0.2393,0.000060,65.80
87,0.7412,1.0000,0.9657,0.4120,0.5084,0.2369,0.2918,0.000053,65.94
88,0.6880,1.0000,0.9162,0.4238,0.5578,0.2423,0.3218,0.000045,66.02
89,0.7672,1.0000,0.9655,0.4330,0.4838,0.2480,0.2675,0.000039,65.92
90,0.6871,1.0000,0.9303,0.4152,0.5919,0.2381,0.3288,0.000033,66.23
91,0.7978,1.0000,0.9802,0.4277,0.4302,0.2415,0.2384,0.000027,65.79
92,0.7025,1.0000,0.9285,0.4185,0.5708,0.2384,0.3193,0.000022,65.77
93,0.7604,1.0000,0.9665,0.4096,0.4888,0.2354,0.2732,0.000017,65.79
94,0.7615,1.0000,0.9664,0.4043,0.4783,0.2292,0.2696,0.000013,65.99
95,0.7336,1.0000,0.9436,0.4174,0.5390,0.2405,0.3036,0.000010,65.87
96,0.7585,1.0000,0.9664,0.4038,0.4952,0.2288,0.2785,0.000007,65.82
97,0.7445,1.0000,0.9665,0.4045,0.5115,0.2316,0.2861,0.000004,65.71
98,0.7653,1.0000,0.9467,0.4013,0.4851,0.2302,0.2715,0.000002,65.96
99,0.7676,1.0000,0.9463,0.4068,0.4701,0.2309,0.2638,0.000001,66.41
100,0.7696,1.0000,0.9457,0.3948,0.4712,0.2248,0.2636,0.000000,65.75
